,sequence,labels,scores
21,would be interested to see the new macbook pro m2 max stacked up against a current equivalent value windows laptop the new apple silicon is so freaking good would be interesting to see if intelamd laptops have made any gains,"['request', 'statement', 'doubt']","[0.44907331466674805, 0.32919612526893616, 0.2217305600643158]"
22,theres absolutely no one does this level of production on tech videos on youtube mad props,"['statement', 'doubt', 'request']","[0.45743995904922485, 0.2731879949569702, 0.26937198638916016]"
23,i still use the 16inch i9 8core 64gb ram from 3 years ago and its still an amazing powerhouse the best laptop ive ever owned love it so much looking forward to upgrading to these new m2 would like a bit more power at this point for multitasking while film editing but not looking forward to dropping another 5k for it,"['request', 'statement', 'doubt']","[0.44669634103775024, 0.3152724802494049, 0.23803117871284485]"
24,mad respect for marquees i dont fail to watch your reviews before buying these products,"['statement', 'doubt', 'request']","[0.5163629055023193, 0.3176773488521576, 0.16595977544784546]"
25,love the honest and unbiased review from marques,"['statement', 'request', 'doubt']","[0.8262624144554138, 0.1366826295852661, 0.03705490753054619]"
26,the production quality of this videos is the reason why i watch every single video from mkbhd even the ones about stuff i dont care that much its amazing to watch the awesome work they all do with every single aspect of the video from start to finish,"['statement', 'request', 'doubt']","[0.5072810649871826, 0.287268728017807, 0.20545025169849396]"
27,i really want one of these but i have no real need to upgrade my 13 m1 besides wanting a slightly larger screen  a 1416 is very tempting though,"['doubt', 'request', 'statement']","[0.4046695828437805, 0.37314552068710327, 0.2221849113702774]"
28,really excited for the mac mini review in my opinion it is affordable and powerful and it is the product which will push the apple silicon series up the market,"['statement', 'request', 'doubt']","[0.6846374869346619, 0.2957582473754883, 0.019604291766881943]"
29,the most impressive part of his videos is him not saying umm once for as much information as he’s giving he doesn’t use filler words that in itself is impressive he’s one heck of a speakeredit i typed this comment before he finished the video and said it like 35 seconds after lol either way still a dope articulate and engaging speaker,"['statement', 'doubt', 'request']","[0.6077646613121033, 0.21259386837482452, 0.179641455411911]"
30,the team at mkbhd is killing it again the quality of the reviews keep going up and up,"['statement', 'request', 'doubt']","[0.6832579374313354, 0.22869382798671722, 0.08804824203252792]"
31,mkbhd content just gets better and better i love it ,"['statement', 'request', 'doubt']","[0.4924384355545044, 0.29276832938194275, 0.21479326486587524]"
32,thank you for giving such a detailed review i’m in the market for a laptop and this helps,"['request', 'statement', 'doubt']","[0.670995831489563, 0.24811537563800812, 0.08088880777359009]"
33,imagine if there would be dynamic island for the upcoming macbooks its gonna be soo good,"['statement', 'request', 'doubt']","[0.405170202255249, 0.3835649788379669, 0.21126475930213928]"
34,i had a 2012 mbp that cost me 2900 fully spec’d out in 2012 i just upgraded to a 1099 m2 air insane how much faster it is and how far it’s come,"['statement', 'request', 'doubt']","[0.5464972257614136, 0.23978786170482635, 0.21371494233608246]"
35,marques is excellent and i have huge  respect for his reviews well presented and he channel is definitely best on youtube,"['statement', 'request', 'doubt']","[0.5229308009147644, 0.29180899262428284, 0.18526023626327515]"
36,he knows exactly what he’s talking about he is so clear and in my opinion the best tech reviewer out there keep up the amazing work ,"['statement', 'request', 'doubt']","[0.63233882188797, 0.25534290075302124, 0.1123182475566864]"
37,i loved the real world example shown of screenflow thats the stuff that actually matters,"['request', 'statement', 'doubt']","[0.46345528960227966, 0.4127736985683441, 0.12377103418111801]"
38,great info great video and great delivery you are very nice to follow during your explanations tech with some fun greetings from europe,"['statement', 'request', 'doubt']","[0.5230931639671326, 0.34931662678718567, 0.12759019434452057]"
39,its an honor to have grown up together following tech and watching your videos they just keep getting better and better,"['statement', 'request', 'doubt']","[0.6090657711029053, 0.22726404666900635, 0.16367021203041077]"
40,many thanks for making this video been reading and watching video reviews on the new mac im one of the ones who has an older mac 2012 here lol but watching your video and andres vidozas review have helped tremendously on my decision,"['statement', 'request', 'doubt']","[0.4788108468055725, 0.3173440992832184, 0.20384511351585388]"
